title,tmdbCode,type,tmdbTitle,matchConfidence
yolanthe,290388,tv,YOLANTHE,1.0112
all the sharks,294011,tv,All the Sharks,1.1105
better late than single,288912,tv,Better Late Than Single,1.9091
building the band,261887,tv,Building the Band,1.3993
too hot to handle: italy,286867,tv,Too Hot to Handle: Italy,0.8732
hitmakers,37995,tv,Hitmakers,1.0619
final draft,257929,tv,Final Draft,0.2358
love is blind: france,277544,tv,Love Is Blind: France,1.0913
next gen chef,298620,tv,Next Gen Chef,1.1028
inside: usa,299675,tv,Inside: USA,0.8703
physical: asia,293613,tv,Physical: Asia,12.0406
love is blind: italy,283967,tv,Love Is Blind: Italy,4.9891
awaiting release,,,,
badly in love[152],,,,
what's in the box[154],,,,
members only: palm beach[156],,,,
my next guest needs no introduction with david letterman,76178,tv,My Next Guest Needs No Introduction with David Letterman,2.8014
dinner time live with david chang,244587,tv,Dinner Time Live with David Chang,2.5945
the great indian kapil show,247769,tv,The Great Indian Kapil Show,4.3306
live from the other side with tyler henry,261510,tv,Live from the Other Side with Tyler Henry,2.5455
everybody's live with john mulaney,283387,tv,Everybody's Live with John Mulaney,3.088
black mirror (series 3–7),,,,
inside (season 2),,,,
weak hero (season 2),,,,
death inc. (season 3),,,,
crime scene (season 5),,,,
three idiots (season 3),,,,
awaiting release,,,,
star search (season 15)[161],,,,
awaiting release,,,,
elmo and mark rober's merry giftmas[163],,,,
is it cake? holiday,275144,tv,Is It Cake? Holiday,2.9238
famous last words,1453279,movie,Famous Last Words,0.6945
is it cake? halloween,300594,tv,Is It Cake? Halloween,0.5905
bad exorcist,114183,tv,Bad Exorcist,2.089
seven doors,279517,tv,Seven Doors,0.8399
the hunting wives,244447,tv,The Hunting Wives,5.1216
awaiting release,,,,
innate[165],,,,
i am a killer,81337,tv,I AM A KILLER,3.1634
single's inferno,139798,tv,Single's Inferno,5.0429
the parisian agency: exclusive properties (seasons 2–5),,,,
woman of the dead,214088,tv,Woman of the Dead,2.2865
high tides,203616,tv,High Tides,4.4791
a good girl's guide to murder,218342,tv,A Good Girl's Guide to Murder,4.1551
north of north,56387,tv,Fist of the North Star,9.8416
pernille (seasons 4–5),,,,
temptation island (season 9),,,,
rosario tijeras (season 4),,,,
sesame street (season 56),,,,
the undertow[174],,,,
the witness[175][176],,,,
how to get to heaven from belfast[177],,,,
east of eden[179][180],,,,
the boroughs[182][183],,,,
something very bad is going to happen[185],,,,
the age of innocence[186],,,,
all the sinners bleed[187],,,,
the altruists[188][189],,,,
black hole[190],,,,
the body[187][191],,,,
the boys from brazil[192],,,,
covers[193],,,,
crew girl[194],,,,
the granville girls[195],,,,
grown ups[175],,,,
how to kill your family[196],,,,
i will find you[197][198],,,,
kennedy[199],,,,
legends[200],,,,
little house on the prairie[201],,,,
man on fire[202][203][204],,,,
my brilliant career[205],,,,
nemesis[206],,,,
out of the dust[207],,,,
pagans[208],,,,
poser[209],,,,
pride and prejudice[210],,,,
"rabbit, rabbit[211]",,,,
they both die at the end[212],,,,
thumblite[213],,,,
trigger point[214],,,,
trinity[215],,,,
twisted love[216],,,,
unaccustomed earth[217],,,,
untitled assassin's creed series[218],,,,
untitled charlie brooker series[219],,,,
untitled extraction series[220],,,,
untitled martin scorsese series[221],,,,
untitled michelle monaghan series[222],,,,
untitled monster lizzie borden series[223],,,,
untitled newfoundland and labrador series[224],,,,
untitled the secret of secrets series[225],,,,
untitled scooby-doo series[226],,,,
untitled tim mcgraw series[227],,,,
vladimir[228],,,,
weather girl[229],,,,
free bert[230],,,,
hollywood arts[232],,,,
big mistakes[233][234],,,,
golf[235],,,,
untitled a different world sequel series[236],,,,
alley cats[237],,,,
mating season[238],,,,
stranger things: tales from '85[239][240],,,,
living the dream[242],,,,
magic: the gathering[243],,,,
midnight sun[244],,,,
army of the dead: lost vegas[245],,,,
beat & motion[246],,,,
cyberpunk: edgerunners 2[247][248],,,,
the one piece[249],,,,
stranger things: tokyo[250],,,,
motel transylvania,256322,tv,Motel Transylvania,0.5346
ghostbusters[252][253],,,,
mafalda[254],,,,
untitled clash of clans series[255],,,,
untitled minecraft series[256][257],,,,
untitled rebel moon series[258],,,,
gign[259],,,,
les lionnes[259],,,,
recalé[260],,,,
die falle[111],,,,
kacken an der havel[261],,,,
plötzlich kanzlerin[262],,,,
the trap[263],,,,
akka[128],,,,
glory[128],,,,
operation safed sagar[264],,,,
o saathi re[265],,,,
rakt bramhand – the bloody kingdom[266],,,,
motor valley[111],,,,
chiaroscuro[268],,,,
il capo perfetto[269],,,,
nemesi[270],,,,
sins of kujo[271],,,,
did someone happen to mention me?[272],,,,
plastic beauty[273],,,,
straight to hell[272],,,,
human vapor[274],,,,
quiztopia[275],,,,
soul mate[276],,,,
can this love be translated?[277],,,,
the art of sarah[279],,,,
boyfriend on demand[280],,,,
east palace[281],,,,
grand galaxy hotel[282],,,,
lovestuck[283],,,,
notes from the last row[284],,,,
perfect job[285],,,,
the rat[286],,,,
road[287],,,,
scandals[288],,,,
show business[289],,,,
solo leveling[290],,,,
take charge of my heart[291],,,,
true lessons[292],,,,
variety[293],,,,
wish your death[294],,,,
the wonderfools[295],,,,
emergência radioativa[296],,,,
fúria[296],,,,
untitled 1970 fifa world cup series[297][296],,,,
all the truth behind my lies[298],,,,
corruptors[116],,,,
el crimen de pazos[299],,,,
el problema final[300],,,,
the future is ours[301],,,,
i'm not afraid[116],,,,
los secretos de la cortesana[302],,,,
lovesick[303][304],,,,
the map of longing[305][306],,,,
my sad dead[307],,,,
palace[108],,,,
salvador[308],,,,
santita[116],,,,
that night[309],,,,
untitled aníbal gordon series[310],,,,
super subbu[128],,,,
"to love, to lose[311]",,,,
untitled sara khorami series[312],,,,
buybust: the undesirables[313],,,,
the case[314],,,,
jo nesbø's detective hole[315][316][317],,,,
museum of innocence[311],,,,
untitled the chestnut man sequel series[316][318],,,,
the dinner club[319],,,,
jo bachay hain sang samait lo[320],,,,
legacy[321],,,,
#love[321],283807,tv,外星小子哆布哆,0.3732
million-follower detective[322],,,,
untitled james rodríguez docuseries[108],,,,
hunting gary glitter[323],,,,
jack unterweger[324],,,,
pinzner: german hitman[324],,,,
shirin david[324],,,,
this blew up[325],,,,
untitled alejandro sanz docuseries[326],,,,
untitled carmen cervera docuseries[327],,,,
untitled gordon ramsay docuseries[328],,,,
untitled john meehan docuseries[329],,,,
untitled john o'keefe docuseries[330],,,,
untitled mike tyson docuseries[331],,,,
untitled rafael nadal docuseries[332],,,,
untitled take that docuseries[333],,,,
calabasas confidential[334],,,,
untitled kevin hart series[335],,,,
untitled mark rober series[337],,,,
age of attraction[338],,,,
blue therapy[339],,,,
clue[340],,,,
the golden ticket[341],,,,
jae-suk's b&b rules![141],,,,
let's marry harry[334],,,,
love is blind: netherlands[342],,,,
love is blind: poland[343],,,,
meu namorado coreano[296],,,,
monopoly[344],,,,
